confirmed,deaths,city_ibge_code
0,0,2930303
4,0,2930402
53,0,2930501
2,0,2930600
234,7,2930709
1,0,2930766
27,2,2930774
1,0,2930808
0,0,2930907
0,0,2931004
1,0,2931103
9,0,2931202
159,0,2931350
13,0,2931509
4,0,2931707
5,0,2931905
1,0,2932002
0,0,2932101
18,1,2932200
22,0,2932309
36,0,2932457
8,0,2932507
65,2,2932606
123,11,2932705
1,1,2932804
70,2,2932903
52,1,2933000
2,1,2933059
1,0,2933158
2,0,2933174
25,2,2933208
7,1,2933257
171,5,2933307
1,0,2933455
20,1,2933505
21,0,2933604
11698,181,5300108
1225,15,
91,6,3200102
31,2,3200169
8,2,3200136
20,0,3200201
87,2,3200300
4,1,3200359
176,3,3200409
18,0,3200508
137,13,3200607
5,0,3200706
111,3,3200805
114,4,3200904
74,3,3201001
27,0,3201100
7,0,3201159
380,15,3201209
2201,125,3201308
26,2,3201407
427,5,3201506
15,1,3201605
18,1,3201704
9,0,3201803
121,0,3201902
1,0,3202009
68,4,3202108
146,8,3202207
5,0,3202256
47,4,3202306
321,16,3202405
22,1,3202454
30,1,3202504
21,1,3202553
29,0,3202603
323,4,
23,0,3202652
15,0,3202702
182,6,3202801
33,1,3202900
16,1,3203007
9,1,3203056
13,0,3203106
94,3,3203130
18,0,3203163
283,10,3203205
5,1,3203304
303,18,3203320
123,3,3203346
31,0,3203353
111,1,3203403
15,0,3203502
5,1,3203601
9,1,3203700
38,3,3203809
53,2,3203908
73,0,3204005
24,1,3204054
22,3,3204104
97,1,3204203
0,0,3204252
109,3,3204302
35,0,3204351
14,1,3204401
20,0,3204500
89,4,3204559
105,3,3204609
13,1,3204658
79,0,3204708
22,0,3204807
276,3,3204906
28,2,3204955
2980,180,3205002
47,2,3205010
29,1,3205036
53,0,3205069
323,15,3205101
8,0,3205150
40,0,3205176
2922,125,3205200
2987,113,3205309
1332,3,2100055
14,0,2100105
47,0,2100154
21,1,2100204
12,0,2100303
1,1,2100402
189,6,2100436
76,0,2100477
26,0,2100501
3,0,2100550
265,1,2100600
72,4,2100709
300,1,2100808
115,1,2100832
227,0,2100873
153,2,2100907
95,0,2100956
73,2,2101004
18,1,2101103
555,6,2101202
108,2,2101251
148,0,2101301
8,0,2101350
331,0,2101400
7,0,2101509
751,12,2101608
194,5,2101707
81,0,2101731
65,0,2101772
5,0,2101806
105,5,2101905
25,0,2101939
10,2,2101970
102,2,2102002
198,0,2102036
26,0,2102077
105,6,2102101
19,0,2102150
87,0,2102200
6,0,2102309
625,2,2102325
135,3,2102358
34,2,2102374
4,1,2102408
112,0,2102507
102,1,2102556
19,1,2102606
162,1,2102705
98,0,2102754
48,0,2102804
119,9,2102903
340,10,2103000
32,0,2103109
7,0,2103125
20,0,2103158
117,2,2103174
1192,6,2103208
75,0,2103257
1098,5,2103307
403,3,2103406
112,1,2103505
55,2,2103554
179,1,2103604
121,2,2103703
103,3,2103752
40,0,2103802
57,0,2103901
226,5,2104008
275,1,2104057
12,1,2104073
61,0,2104081
34,0,2104099
26,0,2104107
49,0,2104206
25,2,2104305
19,0,2104404
48,0,2104503
141,1,2104552
17,0,2104602
11,0,2104628
64,2,2104651
35,0,2104677
25,0,2104701
267,3,2104800
54,2,2104909
148,1,2105005
45,1,2105104
86,1,2105153
247,0,2105203
2406,113,2105302
39,0,2105351
276,2,2105401
254,4,2105427
12,0,2105450
37,2,2105476
129,2,2105500
64,0,2105609
53,0,2105658
0,0,2105922
35,0,2105963
382,23,2105708
17,0,2105807
58,1,2105948
72,0,2105906
5,0,2105989
383,3,2106003
0,0,2106102
7,1,2106201
51,0,2106300
236,1,2106326
49,0,2106359
136,1,2106375
159,2,2106409
147,0,2106508
61,0,2106607
15,0,2106631
46,0,2106672
32,0,2106706
132,0,2106755
36,6,2106805
104,5,2106904
62,1,2107001
86,2,2107100
45,0,2107209
2,0,2107258
0,0,2107308
